origin / session_media,date,total_users,sessions,engagement_rate,engaged_sessions,average_session_duration,session_conversion_rate,conversions,avarage_purchase_revenue,total_revenue
google / cpc,20230804,297,357,0.6190476190476191,221,321.8739856582633,0.011204481792717087,6,278.193333,1669.159998
google / cpc,20230823,181,227,0.6784140969162996,154,409.1682567665199,0.01762114537444934,6,360.2366675,2161.420005
google / cpc,20230829,135,168,0.7321428571428571,123,376.4645811666667,0.023809523809523808,6,581.6466658333334,3489.879995
google / cpc,20230909,233,279,0.6738351254480287,188,272.2581260322581,0.021505376344086023,6,288.0466668333333,1728.280001
google / cpc,20230929,210,239,0.6150627615062761,147,202.18782558995815,0.02510460251046025,6,440.56166616666667,2643.369997
google / cpc,20230930,155,180,0.6666666666666666,120,291.85298943333333,0.03333333333333333,6,322.4883333333333,1934.93
google / cpc,20231101,249,284,0.6830985915492958,194,353.3295519612676,0.017605633802816902,6,332.12666666666667,1992.76
google / cpc,20231107,260,301,0.6877076411960132,207,285.98232213621264,0.019933554817275746,6,469.1433338333333,2814.860003
google / cpc,20231114,265,318,0.660377358490566,210,420.1355275849057,0.018867924528301886,6,192.45166716666665,1154.710003
google / cpc,20231122,396,475,0.6421052631578947,305,320.1917632526316,0.01263157894736842,6,260.211667,1561.270002
google / cpc,20231125,334,400,0.655,262,332.45495489499996,0.015,6,785.4133335,4712.480001
google / cpc,20231205,250,305,0.6262295081967213,191,251.36362748196723,0.019672131147540985,6,216.31166666666667,1297.87
newsletter / home,20230801,65,92,0.6739130434782609,62,672.1348237173913,0.06521739130434782,6,282.3649998333333,1694.189999
(direct) / (none),20230522,97,106,0.44339622641509435,47,175.85238683962265,0.02830188679245283,5,112.8099986,564.049993
(direct) / (none),20230801,82,96,0.4270833333333333,41,140.752083875,0.041666666666666664,5,609.2639994,3046.319997
(direct) / (none),20231104,60,68,0.4852941176470588,33,2121.007199132353,0.07352941176470588,5,323.32800019999996,1616.640001
(direct) / (none),20231125,128,146,0.6027397260273972,88,243.54458049315065,0.03424657534246575,5,220.622,1103.11
google / cpc,20230319,184,221,0.583710407239819,129,806.8930358959277,0.02262443438914027,5,170.6279994,853.139997
google / cpc,20230322,212,253,0.616600790513834,156,318.40771611462446,0.019762845849802372,5,154.72999819999998,773.649991
google / cpc,20230323,271,319,0.6238244514106583,199,338.8423542225705,0.01567398119122257,5,101.91,509.55
google / cpc,20230329,242,301,0.6644518272425249,200,432.9183880033222,0.016611295681063124,5,374.597999,1872.989995
google / cpc,20230426,293,344,0.6453488372093024,222,273.309012752907,0.011627906976744186,5,1615.562,8077.81
google / cpc,20230504,247,286,0.5804195804195804,166,332.8443622377622,0.013986013986013986,5,316.46999839999995,1582.349992
google / cpc,20230505,334,388,0.5567010309278351,216,250.85175338659795,0.01288659793814433,5,201.21599940000002,1006.079997
google / cpc,20230516,216,256,0.68359375,175,296.55763198828123,0.01953125,5,230.5179992,1152.589996
google / cpc,20230517,201,244,0.6147540983606558,150,306.83251103688525,0.020491803278688523,5,239.4967928,1197.483964
google / cpc,20230520,153,180,0.6555555555555556,118,354.38589114444443,0.027777777777777776,5,864.7914903999999,4323.957452
google / cpc,20230521,187,230,0.6304347826086957,145,312.7146526130435,0.021739130434782608,5,215.3719994,1076.859997
google / cpc,20230527,159,184,0.6956521739130435,128,242.1387810108695,0.02717391304347826,5,198.596,992.98
google / cpc,20230528,225,261,0.7011494252873564,183,283.7103926015326,0.01532567049808429,5,116.1340012,580.670006
google / cpc,20230604,175,205,0.6926829268292682,142,310.60327530243904,0.024390243902439025,5,259.1693548,1295.846774
google / cpc,20230708,187,225,0.6444444444444445,145,286.65536978222224,0.013333333333333334,5,232.4880004,1162.440002
google / cpc,20230725,355,422,0.6777251184834123,286,279.53366485781993,0.009478672985781991,5,1033.4240002000001,5167.120001
google / cpc,20230727,341,389,0.6940874035989717,270,294.5476613856041,0.012853470437017995,5,414.3279996,2071.639998
google / cpc,20230802,325,391,0.6163682864450127,241,331.85572775959076,0.01278772378516624,5,251.3300002,1256.650001
google / cpc,20230808,333,388,0.6701030927835051,260,300.0505243840206,0.01288659793814433,5,338.4159998,1692.079999
google / cpc,20230811,247,301,0.6046511627906976,182,261.6776495681063,0.016611295681063124,5,465.8980002,2329.490001
google / cpc,20230814,300,354,0.652542372881356,231,300.67290168644064,0.014124293785310734,5,536.953999,2684.769995
google / cpc,20230819,229,268,0.6380597014925373,171,284.1134529440298,0.018656716417910446,5,378.7939998,1893.969999
google / cpc,20230826,123,144,0.7569444444444444,109,412.4327946597222,0.034722222222222224,5,388.587999,1942.939995
google / cpc,20230902,207,237,0.6666666666666666,158,260.00514189873417,0.016877637130801686,5,191.453979,957.269895
google / cpc,20230910,218,256,0.6171875,158,258.648425453125,0.015625,5,503.30400060000005,2516.520003
google / cpc,20231005,246,293,0.6825938566552902,200,296.8770565017065,0.017064846416382253,5,297.492,1487.46
google / cpc,20231011,162,208,0.7211538461538461,150,434.33416687499994,0.02403846153846154,5,200.6820004,1003.410002
google / cpc,20231014,246,292,0.6267123287671232,183,252.38202627397257,0.017123287671232876,5,190.2400006,951.200003
google / cpc,20231026,207,252,0.6785714285714286,171,282.27176088492064,0.01984126984126984,5,646.614001,3233.070005
google / cpc,20231029,212,252,0.6111111111111112,154,343.8798735634921,0.01984126984126984,5,1301.8840002,6509.420001
google / cpc,20231030,247,294,0.7108843537414966,209,316.9800765306122,0.017006802721088437,5,386.982,1934.91
google / cpc,20231106,197,237,0.7215189873417721,171,416.4588691392405,0.02109704641350211,5,218.893999,1094.469995
google / cpc,20231109,249,308,0.6655844155844156,205,312.8639365162338,0.016233766233766232,5,572.8900004,2864.450002
google / cpc,20231110,208,254,0.6692913385826772,170,374.3457503503937,0.015748031496062992,5,356.7259998,1783.629999
google / cpc,20231113,255,310,0.6516129032258065,202,310.15114019677424,0.016129032258064516,5,128.7579992,643.789996
google / cpc,20231121,387,444,0.6554054054054054,291,276.76847336036036,0.01126126126126126,5,113.954,569.77
google / cpc,20231214,219,263,0.6273764258555133,165,457.32066303802276,0.019011406844106463,5,794.7899993999999,3973.949997
google / cpc,20231226,176,218,0.6697247706422018,146,297.8240371559633,0.013761467889908258,5,290.6159992,1453.079996
google / cpc,20231230,155,189,0.6931216931216931,131,257.3832401269841,0.026455026455026454,5,386.886,1934.43
(direct) / (none),20230603,43,52,0.5,26,407.40799984615387,0.07692307692307693,4,238.6525,954.61
(direct) / (none),20230724,93,110,0.5545454545454546,61,263.21633044545456,0.03636363636363636,4,1053.665,4214.66
(direct) / (none),20230725,139,145,0.38620689655172413,56,206.05919342068967,0.020689655172413793,4,87.00250125,348.010005
(direct) / (none),20230731,74,84,0.5,42,208.35872604761906,0.047619047619047616,4,174.3675005,697.470002
(direct) / (none),20230822,67,78,0.4358974358974359,34,290.55698305128203,0.05128205128205128,4,245.55749975,982.229999
(direct) / (none),20230905,71,80,0.5,40,148.5397072,0.05,4,3554.755,14219.02
(direct) / (none),20231128,118,132,0.5075757575757576,67,290.46581577272724,0.030303030303030304,4,424.83250075,1699.330003
(direct) / (none),20231209,77,98,0.5510204081632653,54,237.71553534693876,0.030612244897959183,4,110.43750075,441.750003
facebook / cpc,20230716,193,199,0.6834170854271356,136,177.0001385829146,0.020100502512562814,4,84.7999995,339.199998
facebook / cpc,20231116,284,298,0.7181208053691275,214,184.29685030536913,0.013422818791946308,4,162.81250025,651.250001
google / cpc,20230320,230,288,0.6284722222222222,181,328.8351757395833,0.013888888888888888,4,263.9699995,1055.879998
google / cpc,20230401,150,176,0.5909090909090909,104,224.38600417045456,0.017045454545454544,4,226.6800005,906.720002
google / cpc,20230402,206,239,0.6108786610878661,146,331.52494947280337,0.016736401673640166,4,566.64000075,2266.560003
google / cpc,20230409,217,251,0.5816733067729084,146,202.13029521115539,0.00796812749003984,4,254.28250025,1017.130001
google / cpc,20230418,161,202,0.7128712871287128,144,394.511011519802,0.019801980198019802,4,187.9824995,751.929998
google / cpc,20230430,342,383,0.5718015665796344,219,229.56077785900783,0.010443864229765013,4,264.65000025,1058.600001
google / cpc,20230502,411,469,0.5053304904051172,237,228.12801892324094,0.008528784648187633,4,327.75500025,1311.020001
google / cpc,20230508,395,467,0.6038543897216274,282,208.2068183276231,0.008565310492505354,4,355.1325,1420.53
google / cpc,20230509,323,392,0.6224489795918368,244,231.13458744897957,0.01020408163265306,4,346.22750025,1384.910001
google / cpc,20230510,259,300,0.6233333333333333,187,238.80212002666667,0.01,4,257.99,1031.96
google / cpc,20230526,178,223,0.7085201793721974,158,327.8914323901346,0.017937219730941704,4,182.7799995,731.119998
google / cpc,20230603,171,195,0.6974358974358974,136,316.081600323077,0.015384615384615385,4,310.562501,1242.250004
google / cpc,20230607,207,253,0.7154150197628458,181,454.7737105731225,0.015810276679841896,4,267.519716,1070.078864
google / cpc,20230608,213,235,0.6936170212765957,163,356.6195828425532,0.01702127659574468,4,446.569406,1786.277624
google / cpc,20230609,196,227,0.6387665198237885,145,284.0762374140969,0.01762114537444934,4,401.7624995,1607.049998
google / cpc,20230610,262,301,0.6013289036544851,181,207.94857393023258,0.013289036544850499,4,254.54249975,1018.169999
google / cpc,20230618,180,201,0.6318407960199005,127,197.50763133830847,0.01990049751243781,4,273.3299985,1093.319994
google / cpc,20230623,201,225,0.6355555555555555,143,333.79490580444445,0.017777777777777778,4,190.227499,760.909996
google / cpc,20230627,240,295,0.6677966101694915,197,354.42558682033894,0.010169491525423728,4,211.85499925,847.419997
google / cpc,20230629,226,274,0.656934306569343,180,262.83646523722626,0.014598540145985401,4,454.67000075,1818.680003
google / cpc,20230630,151,182,0.6703296703296703,122,293.6637151153846,0.02197802197802198,4,282.7074995,1130.829998
google / cpc,20230702,171,206,0.6213592233009708,128,268.90568326213594,0.019417475728155338,4,274.8374995,1099.349998
google / cpc,20230703,219,274,0.5985401459854015,164,318.36275394890515,0.014598540145985401,4,147.91500025,591.660001
google / cpc,20230709,225,268,0.6082089552238806,163,245.88630763432838,0.014925373134328358,4,248.6908225,994.76329
google / cpc,20230713,228,287,0.627177700348432,180,330.1021851463414,0.010452961672473868,4,255.6625015,1022.650006
google / cpc,20230716,248,281,0.6120996441281139,172,288.9101044270463,0.014234875444839857,4,167.125,668.5
google / cpc,20230809,328,394,0.6675126903553299,263,291.28521688071066,0.007614213197969543,4,597.81499825,2391.259993
google / cpc,20230901,150,187,0.6256684491978609,117,324.2259421604278,0.0213903743315508,4,317.772499,1271.089996
google / cpc,20230903,197,239,0.6610878661087866,158,319.71899537238494,0.016736401673640166,4,383.24,1532.96
google / cpc,20230915,261,319,0.6175548589341693,197,282.8137937460815,0.012539184952978056,4,216.66000125,866.640005
google / cpc,20230916,211,241,0.6473029045643154,156,220.62880074688803,0.016597510373443983,4,156.919999,627.679996
google / cpc,20230920,158,204,0.6470588235294118,132,372.29619320098044,0.0196078431372549,4,259.73999925,1038.959997
google / cpc,20230922,191,240,0.6541666666666667,157,342.59425913749993,0.016666666666666666,4,342.77000025,1371.080001
google / cpc,20230923,234,261,0.6666666666666666,174,249.21806193103447,0.01532567049808429,4,328.3275,1313.31
google / cpc,20230924,232,263,0.6692015209125475,176,288.97412352851717,0.015209125475285171,4,371.33000025,1485.320001
google / cpc,20230926,288,349,0.6389684813753582,223,296.3776941375358,0.011461318051575931,4,111.13750125,444.550005
google / cpc,20230928,267,295,0.6847457627118644,202,429.18724973898304,0.013559322033898305,4,136.7999985,547.199994
google / cpc,20231003,198,258,0.6589147286821705,170,385.40195102325583,0.015503875968992248,4,185.590001,742.360004
google / cpc,20231007,207,243,0.6790123456790124,165,283.7404530329218,0.012345679012345678,4,117.21750125,468.870005
google / cpc,20231008,261,306,0.6405228758169934,196,279.1189027679739,0.013071895424836602,4,1275.52000125,5102.080005
google / cpc,20231015,239,280,0.6607142857142857,185,256.6561167107143,0.014285714285714285,4,430.6999995,1722.799998
google / cpc,20231020,218,268,0.6343283582089553,170,318.2681175895522,0.014925373134328358,4,857.98749975,3431.949999
google / cpc,20231027,241,285,0.631578947368421,180,348.33901064912277,0.010526315789473684,4,291.755001,1167.020004
google / cpc,20231031,193,232,0.6681034482758621,155,296.20736498275863,0.017241379310344827,4,143.94999925,575.799997
google / cpc,20231103,219,268,0.6567164179104478,176,353.4143591343284,0.014925373134328358,4,519.2249995,2076.899998
google / cpc,20231207,232,289,0.6643598615916955,192,305.70139146366785,0.01384083044982699,4,181.09999975,724.399999
google / cpc,20231217,205,246,0.6138211382113821,151,261.8850250447154,0.016260162601626018,4,229.13999925,916.559997
google / cpc,20231219,198,253,0.6047430830039525,153,359.8716507549407,0.015810276679841896,4,286.78250075,1147.130003
google / organic,20231112,72,78,0.5641025641025641,44,246.71900408974355,0.038461538461538464,4,407.85499975,1631.419999
newslatter / home,20230331,80,92,0.5,46,262.582954826087,0.043478260869565216,4,170.345,681.38
(direct) / (none),20230318,44,52,0.40384615384615385,21,484.6262959807692,0.057692307692307696,3,327.49000033333334,982.470001
(direct) / (none),20230320,75,88,0.38636363636363635,34,186.18458079545454,0.022727272727272728,3,290.2133326666667,870.639998
(direct) / (none),20230331,80,93,0.45161290322580644,42,225.79853925806455,0.03225806451612903,3,198.859999,596.579997
(direct) / (none),20230411,84,105,0.4857142857142857,51,314.1845282190476,0.02857142857142857,3,85.656667,256.970001
(direct) / (none),20230507,75,82,0.524390243902439,43,155.0265359512195,0.036585365853658534,3,101.219527,303.658581
(direct) / (none),20230524,116,128,0.5078125,65,225.9439531875,0.015625,3,265.99999966666667,797.999999
(direct) / (none),20230627,191,216,0.35185185185185186,76,153.79404499537037,0.009259259259259259,3,1138.8399986666668,3416.519996
(direct) / (none),20230717,84,90,0.4888888888888889,44,251.49459421111112,0.03333333333333333,3,179.30000066666665,537.900002
(direct) / (none),20230719,84,104,0.5,52,239.31048623076924,0.028846153846153848,3,426.669999,1280.009997
(direct) / (none),20230728,68,87,0.4367816091954023,38,179.7114463218391,0.034482758620689655,3,161.00666833333335,483.020005
(direct) / (none),20230730,74,94,0.425531914893617,40,315.4234159787234,0.031914893617021274,3,353.066665,1059.199995
(direct) / (none),20230809,66,77,0.4155844155844156,32,234.73853310389612,0.03896103896103896,3,548.163334,1644.490002
(direct) / (none),20230814,61,69,0.4492753623188406,31,180.37771530434782,0.043478260869565216,3,1066.5166663333334,3199.549999
(direct) / (none),20230831,193,202,0.18811881188118812,38,91.3586425841584,0.01485148514851485,3,1087.2466673333333,3261.740002
(direct) / (none),20230912,193,212,0.589622641509434,125,189.2174297028302,0.014150943396226415,3,452.6700003333333,1358.010001
(direct) / (none),20230922,59,70,0.34285714285714286,24,230.71865571428572,0.014285714285714285,3,1976.250002,5928.750006
(direct) / (none),20231003,54,64,0.40625,26,316.184008859375,0.046875,3,492.2599993333333,1476.779998
(direct) / (none),20231014,151,165,0.593939393939394,98,206.8056882969697,0.01818181818181818,3,648.1566656666666,1944.469997
(direct) / (none),20231015,49,58,0.4482758620689655,26,177.42477705172413,0.05172413793103448,3,198.316666,594.949998
(direct) / (none),20231027,73,83,0.4939759036144578,41,200.70076149397596,0.024096385542168676,3,439.856666,1319.569998
(direct) / (none),20231101,83,95,0.5578947368421052,53,350.0066076842106,0.021052631578947368,3,593.093332,1779.279996
(direct) / (none),20231107,80,101,0.5445544554455446,55,309.60302917821787,0.0297029702970297,3,318.81999966666666,956.459999
(direct) / (none),20231109,76,83,0.46987951807228917,39,174.97345104819277,0.024096385542168676,3,2432.0166666666664,7296.05
(direct) / (none),20231112,71,78,0.48717948717948717,38,367.59545351282054,0.038461538461538464,3,2545.4066666666663,7636.22
(direct) / (none),20231113,86,92,0.4673913043478261,43,241.11334058695653,0.010869565217391304,3,611.1633333333334,1833.49
(direct) / (none),20231118,80,93,0.5376344086021505,50,244.59418303225806,0.03225806451612903,3,1845,5535
(direct) / (none),20231126,130,145,0.5241379310344828,76,242.64495268275863,0.020689655172413793,3,142.08333266666665,426.249998
RD Station / email,20230531,43,47,0.723404255319149,34,345.1825042978723,0.06382978723404255,3,573.7089456666666,1721.126837
edrone / email,20231121,75,104,0.6538461538461539,68,291.4654807884615,0.028846153846153848,3,258.68,776.04
edrone / email,20231124,125,155,0.6774193548387096,105,563.8043958000001,0.01935483870967742,3,350.56666633333333,1051.699999
edrone / email,20231126,108,136,0.7573529411764706,103,352.0750630514706,0.022058823529411766,3,229.74000033333334,689.220001
edrone / email,20231128,70,99,0.6262626262626263,62,656.3745227171717,0.030303030303030304,3,148.12000066666667,444.360002
edrone / email,20231130,79,106,0.6981132075471698,74,629.5916332264151,0.02830188679245283,3,293.2266676666667,879.680003
facebook / cpc,20231117,241,261,0.685823754789272,179,209.96940520689654,0.011494252873563218,3,369.03,1107.09
facebook / cpc,20231119,395,415,0.7301204819277108,303,236.67524372048192,0.007228915662650603,3,202.959998,608.879994
google / cpc,20230325,202,238,0.592436974789916,141,276.34768158403364,0.012605042016806723,3,348.3299996666667,1044.989999
google / cpc,20230326,211,247,0.5384615384615384,133,192.10995397570846,0.012145748987854251,3,374.756667,1124.270001
google / cpc,20230331,189,246,0.6341463414634146,156,462.14088170325203,0.012195121951219513,3,398.886667,1196.660001
google / cpc,20230403,252,314,0.6050955414012739,190,323.607726366242,0.006369426751592357,3,249.85999966666665,749.579999
google / cpc,20230407,176,195,0.6153846153846154,120,227.24002335897438,0.015384615384615385,3,118.37410633333333,355.122319
google / cpc,20230411,246,299,0.6588628762541806,197,249.1249952006689,0.010033444816053512,3,57.433334,172.300002
google / cpc,20230425,249,290,0.6689655172413793,194,320.68827021034485,0.010344827586206896,3,325.216665,975.649995
google / cpc,20230428,239,283,0.6219081272084805,176,283.89396386572434,0.007067137809187279,3,161.083334,483.250002
google / cpc,20230429,292,333,0.5405405405405406,180,186.9810266696697,0.006006006006006006,3,122.91666566666667,368.749997
google / cpc,20230501,393,432,0.4699074074074074,203,222.18655279166668,0.006944444444444444,3,279.0099993333333,837.029998
google / cpc,20230506,375,431,0.5127610208816705,221,154.46648418329465,0.0069605568445475635,3,486.7333323333333,1460.199997
google / cpc,20230507,366,407,0.5773955773955773,235,168.27924525061422,0.007371007371007371,3,102.556667,307.670001
google / cpc,20230512,222,254,0.594488188976378,151,182.2025430472441,0.011811023622047244,3,126.72,380.16
google / cpc,20230513,186,214,0.5560747663551402,119,286.2587963317757,0.014018691588785047,3,461.1566676666667,1383.470003
google / cpc,20230515,246,299,0.68561872909699,205,238.2437347558528,0.010033444816053512,3,272.313334,816.940002
google / cpc,20230522,276,343,0.6793002915451894,233,365.8216851282799,0.008746355685131196,3,192.586668,577.760004
google / cpc,20230530,253,287,0.686411149825784,197,339.04408667247384,0.010452961672473868,3,348.4899996666667,1045.469999
google / cpc,20230601,172,206,0.7281553398058253,150,580.4456822961165,0.014563106796116505,3,631.0299996666666,1893.089999
